Title,Author,Year,Neural network method,Hybrid method,Transformation,Evolutionary algorithm,Purpose of evolutionary algorithm,Volatility definition,Input data,Output data,Input structure,Input window,Output window,Error metric
Novel volatility forecasting using deep learning long short term memory recurrent neural networks,Yang Liu,2019,RNN (LSTM),-,-,-,,Realised volatility,"S&P500, AAPL","S&P500, AAPL","Single asset, multivariate (volatility, log returns)","1, 2, 3, 4, 5","1--n/a, 3--n/a",RMSE
A neural network enhanced volatiltiy component model,"Jia Zhai, Yi Cao, Xiaoquan Liu",2020,MLP,ARMA,Wavelet transform,-,,Realised volatility (intraday),CSI300,CSI300,"Single asset, univariate (wavelet decomposed volatility)",4,"1--5, 1--20, 1--100, 100--200, 260--360, 400--500","RMSFE, DMariano statistic, SPA, bootstrapped p-values over 1000 replications, interval forecast evaluation of Christoffersen, QLIKE"
Machine learning for multi-step ahead forecasting of volatility proxies,"Jacopo De Stefani, Olivier Caelen, Dalila Hattab, Gianluca Bontempi",2017,MLP,-,-,-,,"Historical volatility, other (range based), other (GARCH as filter)",CAC40 (all constituents),CAC40 (all constituents),"Single asset, univariate (primary volatility proxy), multivariate (primary volatility proxy, additional volatility proxies, volume)","2, 5","1--2, 1--5, 1--8, 1--10, 1--12",MASE (normalised at each forecasting horizon by the naive method)
Chaotic behavior in financial market volatility,"Houda Litimi, Ahmed BenSaida, Lotfi Belkacem, Oussama Abdallah",2019,MLP,Chaos theory,-,-,,Implied volatility,"VIX, VSTOXX, JNIV, VFTSE, VDAX, VCAC, VAEX, VSMI","VIX, VSTOXX, JNIV, VFTSE, VDAX, VCAC, VAEX, VSMI","Single asset, univariate (volatility)",2-48,1,"General adjusted R2, standard error, BIC, MCS, MSE, QLIKE"
Cholesky ANN models for predicting multivariate realised volatility,Andrea Bucci,2020,RNN,-,Cholesky decomposition,-,,Realised volatility,"S&P500, 10y treasury note futures, 1m treasury bond futures","S&P500, 10y treasury note futures, 1m treasury bond futures","Multi-asset, multivariate (Cholesky factors, dividend price, price earning ratio, equity market return, FF 3 factors, 1m t-bill rate, term spread difference between log and short term bond yields, inflation rate, industrial production growth, all lagged 1 period)",all (1),1--21 (month),"MSE (univariate comparison), Frobenius distance (multivariate comparison), Euclidean distance (multivariate comparison), MAE, RMSE, Diebold Mariano test"
"Determining the relationship between speculative activity and crude oil price volatility, using artificial neural networks","Saqib Khan, Rene Mayorga, Hamed Shafiee Hasanabadi",2017,MLP,-,-,-,,Historical volatility,"Crude oil (futures), S&P500","Crude oil (futures), S&P500","Multi-asset, multivariate (S\&P500 price, volatility of T value, weekly crude oil future prices, average of last 6 months returns crude oil future price, implied volatility of crude oil price)",1,1---126 (prev 6 months),"MAE, MSE, RMSE"
An evolutionary hybrid fuzzy computationally efficient EGARCH model for volatility prediction,"Rajsharee Dash, P.K. Dash",2016,MLP (FLNN),"Fuzzy, GARCH",-,Differential evolution,Parameter optimisation,Historical volatility,"SENSEX, S&P500, NIFTY","SENSEX, S&P500, NIFTY","Single asset, multivariate (log returns, volatility)",2,"1--nearest option expiry, 2--nearest option expiry, 3--nearest option expiry, 4--nearest option expiry, 5--nearest option expiry, 10--nearest option expiry","MSFE, RMSFE, MAFE, Wilcoxon rank sum test, SPA"
A differential harmonry search based hybrid interval type2 fuzzy EGARCH model for stock market volatility prediction,"Rajashree Dash, P.K. Dash, Ranjeeta Bisoi",2015,MLP (FLNN),"GARCH, Fuzzy",-,Differential harmony search,Parameter optimisation,Historical volatility,"SENSEX, NIFTY","SENSEX, NIFTY","Single asset, multivariate (log returns, volatility)",2,1--nearest option expiry,"MSFE, RMSFE, MAFE, rel MAE, SPA, residual analysis"
Combining high frequency data with non-linear models for forecasting energy market volatility,"Jozef Braunik, Tomas Krehlik",2016,MLP,HAR,-,-,,"Realised volatility, other (jump based)","Crude oil, heating oil, natural gas","Crude oil, heating oil, natural gas","Single asset, univariate (volatility)",22,"1, 1--5, 1--10","MCS, SPA, RMSE, MAE, MME, M-Z R2"
"Estimation and forecasting of volatility using ARIMA, ARFIMA, and neural network based techniques","Hemanth Kumar P., S. Basavaraj Patil",2015,MLP,-,-,-,,"Historical volatility, other (range based)",S&P500,S&P500,"Single asset, univariate (volatility)",n/a,1--10,"ME, RMSE, MAE, MPE, MAPE, MASE, ACF1"
Noise cancelling in volatility forecasting using an adaptive neural network filter,"Soheil Almasi Monfared, David Enke",2015,MLP,GARCH,-,-,,Realised volatility,"S&P500 (5 randomly selected: Allstate corp., Walt Disney, WW Grainger, HP company, Brown-Forman corp.)","S&P500 (5 randomly selected: Allstate corp., Walt Disney, WW Grainger, HP company, Brown-Forman corp.)","Single asset, univariate (error from GARCH (1,1) model)",3,1--n/a,MSE
A neural stochastic volatility model,"Rui Luo, Weinan Zhang, Xiaojun Xu, Jun Wang",2018,RNN,-,-,-,,Historical volatility (n/a),China A shares (all 162 constituents),China A shares (all 162 constituents),"Single asset, univariate (log returns)",all (n/a),1--n/a,NLL
ieRSPOP: A novel incremental rough set-based pseudo outer-product with ensemble learning,"Ron Tor Das, Kai Keng Ang, Chai Quek",2016,MLP,"Fuzzy, GARCH",-,-,,Realised volatility (intraday),STI (all constituents),STI (all constituents),"Single asset, multivariate (outputs of GARCH, EGARCH, GJR-GARCH, which use innovations, log variance, asymmetric shock, leverage effect, intraday volatility indicator (which is realised volatility, realised range, realised power variation, bipower variation))",5,1,"MAE, MSE, R2"
Forecasting volatility in oil prices with a class of nonlinear volatility models: smooth transition RBF and MLP neural networks augmented GARCH approach,"Melike Bildirici, Ozgur Ersin",2015,"MLP (default, RBF)","GARCH, LSTAR",-,-,,Historical volatility (n/a),Brent crude oil,Brent crude oil,n/a,5,"1--2, 1--10, 1--40","RMSE, MAE, MSE"
Application of ANFIS-based CARRX model to stock volatility forecasting,"Liyan Geng, Zhanfu Zhang",2016,MLP (ANFIS),"Fuzzy, GARCH (CARRX)",-,-,,Other (range based),"CSI300, HSI","CSI300, HSI","Single asset, multivariate (log asset price, conditional range, log return, volume)",1,1,"RMSE, MAE, HRMSE, HMAE, LL, LINEX, R2 (M-Z)"
Computational intelligence approach to capturing the implied volatility,"Fahed Mostafa, Tharam Dillon, Elizabeth Chang",2015,MLP,-,-,-,,Implied volatility,FTSE100,FTSE100,"Single asset, multivariate (moneyness (index and strike), time to expiry, historical volatility)",1,1,ARPE
